企業名,url
企業A,http://kansaiwing.co.jp
企業B,https://kaorichan.co.jp
企業A,https://online.fivefoxes.co.jp/stores/1901361010?utm_source=google&utm_medium=businessprofile&utm_campaign=profile_1901361010
企業B,http://nippori3110.wixsite.com/saitoshoten
企業A,https://www.instagram.com/___kenohi?igsh=MXQ4aHYxanlweHNkaw%3D%3D&utm_source=qr
企業B,https://www.yanagiya1952.com/
企業A,https://www.yanagiya1952.com/
企業B,https://www.instagram.com/raisin_aomori
企業A,http://fuku-rou.com/
企業B,http://tobi-hirose.co.jp/
企業A,https://sites.google.com/view/ada-mfg
企業B,https://m.facebook.com/profile.php?id=100054562893717
